content,date,user_name
I would like to See Barbra Streisand @ Madison Square Gardens with Charlotte  & Bob Esty Too and to invite HRH Queen Elizabeth & Mr & Mrs Obama and Andrew O'Connor & Andrew McMeekin&families,"March 21, 2013",Andrew O Connor
Foreigners- don't forget your passport. No other ID accepted and they'll card anyone 40 and under.,"March 21, 2013",Nat Chan 🚣🇺🇸🗽
Been to Madison square garden just loved it,"March 16, 2013",James Morgan
Here for the 30th anniverssry of the wheel of fortune,"March 15, 2013",Marianne Jennings
Last Big East  tournament ever!,"March 12, 2013",Derek Wittenberg
Best place I have ever seen!,"March 7, 2013",SchoolandUniversity.com
Serena Williams is a beast.,"March 4, 2013",Jamie Johnson
had a blast,"February 20, 2013",Trecy Smith
Wait for the whistle!,"February 18, 2013",Marisa
New York Rangers Home Arena,"February 18, 2013",A Noom Twenty
Sixpoint Sweet Action . Hell yes.,"February 14, 2013",Joshua Rosario
Lets go !,"February 11, 2013",Julia Kloth
"First time here since the renovation. Place looks great and Club Gold seats had a good . In fact, based on the layout, there isn't a bad seat in the house for Knick games.","February 3, 2013",Jonathan Blenman
Great  from the bar stool section next to the handicap seats in the 200s.,"February 2, 2013",Christine Manikas Wanuga
"Home of the New York Rangers, one of the most famous hockey-teams on the planet. The  during warm-ups WAY TOO !","February 1, 2013",Pınar
Section 210 fans are awesome and funny.,"February 1, 2013",Michael Weisblatt
The World's Most Famous Arena!,"January 28, 2013",Jim Maisano
Home  for the New York Rangers,"January 25, 2013",Cristo Leon
Go Devils !!!!!!!,"January 24, 2013",Dmitry M
you've got to attend one of the .,"January 23, 2013",TAIWO TAMMY OSHODI
Fan give away at home opener!!,"January 20, 2013",Jennifer
What an awesome place to visit and have fun. There is so much to do in Madison Square Garden,"January 20, 2013",Arthur♡♡♡
"What an amazing and historical  arena! In 1998, the Mr Olympia contest was held right next door in the ! ","January 13, 2013",Cellucor
"The Mecca. It’s the biggest, brightest stage on the planet, and fittingly home to Carmelo Anthony. Melo is ready to accept the responsibilities that come with defending the building’s legacy.","January 11, 2013",Jumpman23
In 1971 Muhammad Ali beat Joe Frazier in what is known as “the fight of the century”.,"January 10, 2013",DICK'S Sporting Goods
The New York Rangers ended their 54-year championship drought with a win over the Vancouver Canucks in the 1995 Stanley Cup Finals.,"January 10, 2013",DICK'S Sporting Goods
"Sundays are nice here. ,  and the  were all great. Don't really need much , it's really well cooked.","January 6, 2013",Nancy Garcia
No  :(,"December 23, 2012",Azie S
Go Syracuse! Go !!!!,"December 22, 2012",Debbie Slavin
"Shout out to Katie and Julie when you check-in, tweet or post, they are MSG's superstar social team!","December 18, 2012",Rob Rowe
Carmen Israel,"December 18, 2012",tony ngutra
"Even though the Lakers lost, Lakers are the BEST!!!!","December 14, 2012",Eduardo Salgado
Need to come a check a  game,"December 14, 2012",Joel Sojo
"Samsung Galaxy (Korea company) will donate $10 each to the Robin Hood Relief Fund, supporting over 100 organizations helping Sandy victims rebuild: robinhood.org.","December 13, 2012",Angel Hana A.
 is available in the event hall. But time is limited to approx 20 min.,"December 4, 2012",Sergey 136th
"Over 156,000 people were employed in the US live events industry in 2011 and over $2.3 billion worth of  tickets were sold.","December 3, 2012",Bloomberg TV HD
"See that prodigious gentleman styling and profiling courtside in an effervescent suit? That’s Walt “Clyde” Frazier. Regardless of what foursquare says, he’s the mayor here.","November 20, 2012",ESPN
"Turns out, section 209 is nearly as high as the 3 and 400 sections... My nose is bleeding.... :)","November 14, 2012",Leigh Sansone
let's GO knicks... ,"November 10, 2012",Conrad Dimanche
"@headsink Sang Merdeka of Malaysia, #FFF Fight for freedom, I wish can  here infront of thousands and scream Corr Pi to the audience bringing the vibe of my native Malay Peninsular and Borneo","November 8, 2012",#Sami Headsink
hey hallo how are you my freind and i am fine and i wish you also fine and everything you achive. sujay kumar banerjee,"November 7, 2012",Sujoy Kumarbanerjee
"The rodeo is held here every year.  PBRs (comparatively), Wranglers, and a good time.","November 3, 2012",David P
Saw 2 Springsteen shows there this year - unbelievable place,"October 8, 2012",James Schofield
Did you know Bill Clinton received the Democratic nomination at Madison Square Garden. ,"September 28, 2012",Untapped Cities
Did you know Jimmy Carter received the Democratic nomination at Madison Square Garden. ,"September 28, 2012",Untapped Cities
"Did you know Marilyn Monroe famously  a sultry rendition of Happy Birthday, Mr. President for JFK at the third Madison Square Garden. ","September 28, 2012",Untapped Cities
"Be patient if you're gonna buy a ticket, long lines, but awesome place, the best arena for sure. Variety of shows and games.","September 27, 2012",Breno Pires
Beautiful place to be,"September 13, 2012",Rebecca Arthur
Need a ride around Fashion's Night Out 2012? Head over to our store on 1328 Broadway & (s)hop on or (s)hop off around town! Enjoy 30% off your favorite item from 6pm - 11pm & other great surprises!,"September 6, 2012",H&M
Jay-Z knows this venue well.,"September 6, 2012",Sky Line
"Head down to our store on Broadway & Broome, check-in and tweet #FoursquareNY for your chance to win a $250  Appointment!","August 31, 2012",TOPMAN
Better get a move on. Tickets to see Justin Bieber's  here in 2012 sold out in 30 seconds. Tickets for pop  Taylor Swift sold out in 59 seconds in 2011.,"August 2, 2012",Bloomberg TV
"Score big with offerings from top New York restaurateurs, like the  at Jean-Georges Vongerichten’s Simply  or the or the  at Drew Nieporent’s Daily .","July 30, 2012",Travel + Leisure
It's another MSG  night. Keep the buzz going!  by with your crew before hitting the subway. We're open 24/7 at 429 7th Ave. (34th St.) MSG,"July 30, 2012",McDonald's New York Metro
"The world's most famous arena for a reason. All acts bring their A-game, and if the crowd is into it, the experience is second to none.","July 19, 2012",Steve Ritter
"Incumbent President George W. Bush was re-nominated at the 38th Republican presidential nominating convention held August 30-September 2, 2004 at Madison Square Garden in New York.","July 17, 2012",Republican National Convention
Made it to new York!!!,"July 1, 2012",Kimberley S
at campus undana,"June 28, 2012",Anna Anastasia
LET'S GO !,"June 20, 2012",Dan R
"Visitors to NYC shouldn't miss out on the , boardwalk and amusement  waiting for them in historic Coney Island! Take the D, F, N or Q downtown through Brooklyn.","June 17, 2012",Luna Park Coney Island
You've made it to the !,"June 13, 2012",Magnificat Resto Bar
"Check in at Madison Square Garden to unlock exclusive video footage about the impact of this location on Judy Garland's life, brought to you by END OF THE RAINBOW on Broadway. ","June 6, 2012",End of the Rainbow Broadway
Devils suck. Maaaaaaaaarty.,"May 24, 2012",Charles B
"If you buy a ticket from some guy on the street or on craigs list,don't cry to the cops about it being fake","May 24, 2012",Eli H
The MECA!!! The best  venue in America..a must see for all .....Be an All American and stop by,"May 18, 2012",All American Inc.
LET'S GO !!!,"May 12, 2012",seth lachs
Ojan best was here!!!,"May 12, 2012",Amin M
"If a show is sold out online, show up at the box office on the day of the show.  The venue usually releases a limited number of tickets on the day of the show. ","May 9, 2012",ScioniQCity
"Greatest Arena in the world, in the Greatest City in the World. Pay respects to the retired Blueshirts hanging from the ceiling.","May 4, 2012",Matt Szenics
"In 2007 Dashboard confessionals, rocked the stage at the  Delivering an amazing , jam-packed with sing-along choruses and hook-filled lyrics. Check it out on the Q! ","May 2, 2012",Qello
"In 2007 Dashboard confessionals, rocked the stage at the  Delivering an amazing , jam-packed with sing-along choruses and hook-filled lyrics. Check it out on the Q! ","May 2, 2012",Qello
"Be sure to order a cab b4 u leave, as it is always .","April 30, 2012",Andrew Zucker
best arena in the world.,"April 29, 2012",jac natale
"On 4/26/12, I was here for Game 7 of the NHL Eastern Conference Quarterfinals. Let's Go Rangers!","April 27, 2012",Mike Bloomberg
No ! Take the Rickshaw!,"April 23, 2012",Jason Bullock
Best seats in the house!,"April 22, 2012",Tylenol Tommy
This place is badass but the rangers suck and stink of bad bo. Someone get them some soap plz,"April 21, 2012",J P
"Saw the first Japanese band/performer to  there, now I see why is the world's most famous arena","April 20, 2012",Mayline Rosario
VIP nation sucks ass...they lied lied lied,"April 19, 2012",Kim Mirto
I'm so Happy,"April 18, 2012",J
Great place to see a show or watch a game!  Check out Mcswiggans afterwards for the best drink prices in town..393 2nd ave!,"April 18, 2012",mc swiggans
Best arena in the world.  Go Knicks!,"April 15, 2012",Andy Rosenberg
At daily ; this  definitely has lean finely textured  in it.,"April 14, 2012",Veronica Chan
Come watch the Rangers and Knicks win!,"April 13, 2012",✰ David Mathison ✰
Yeah Buddy!,"April 11, 2012",Madeleyn Lopez
I enjoy coming here for some great shows. -  Latin Prince,"April 9, 2012",DJ Latin Prince ✔ 
"One of the easier courts to get close to pregame, so bring a pen if you want to get Lin or Amar'e's autograph.","April 8, 2012",NBA Guru
Make sure to get the  and .,"April 6, 2012",Andrew Zucker
"Madison Square Garden, hemm,, I still remember it place was for Boyband , e.g. Backstreetboys, Five, NSYNC, and many more,","April 5, 2012",Djoen Shinoda
"On 3/26/12, I was here for the Knicks vs. Milwaukee Bucks.","April 2, 2012",Mike Bloomberg
You can get tickets for Knicks game even on a last minute inquiry at the entrance. Just be lucky!,"March 31, 2012",willou
Turn It UP!,"March 30, 2012",Tommy Tammaro
love it here especially for Knicks games,"March 30, 2012",Alba R
If you must buy the over priced  - go for !,"March 29, 2012",Say Su<3
Great seats!,"March 28, 2012",djace
The good food is on the 200 level.,"March 26, 2012",Ellen Manuszak
i like venila ,"March 25, 2012",kuldeepsingh sardar
Bring a photo id,"March 23, 2012",✰ David Mathison ✰
Black motherfuckin Keys!,"March 23, 2012",Danielle Roulx
Rangers suck!!,"March 19, 2012",Andrew Campanaro
Woo Woo Woo You Know It!,"March 18, 2012",Mike Perrone
"Let's boo Carmello, run him out of town and use the money for a real star!","March 14, 2012",Jeremy Krevat
get an all access backstage pass...,"March 14, 2012",CarolMcG McGovney
My home from home LGR!!,"March 13, 2012",Frank Rizzo
Find the  with the  rods.,"March 13, 2012",Chris Judge
Big east  rules!,"March 8, 2012",James Siedliski
Andrew Anderson likes  . Don't sit next to him at big east tournament,"March 7, 2012",chris cochrane
"NO , but wonderfull events place","March 7, 2012",samuel a villegas
 Rock!,"March 7, 2012",Thomas Wong
"Tired? Please. On 3/12/09, Syracuse beat UCONN in six overtimes here. It lasted three hours, 46 minutes and ended at 1:22am, the latest a  game at any level has ever ended in MSG history.","March 5, 2012",ESPN
"The Big East Tournament has been played here since 1983. That year, a young sharpshooter by the name of Chris Mullin won the ‘ship and MVP for St. John’s.","March 5, 2012",ESPN
nice venue,"March 5, 2012",Langit Biru
Love it. Stop and look around. It's a beautiful site at night.,"March 5, 2012",Nnedimma Jessica Nwọka
gaga did rock this place!,"March 4, 2012",Douglas Canaverde
"Madison Square Garden is home to the New York Knicks, and more recently, the Linsanity surrounding breakout NBA star Jeremy Lin.","February 29, 2012",TIME
"""This shhhh*t is !""    - Romeo","February 24, 2012",John Perez
Hill Country  is here! Near gate 106!  and !,"February 21, 2012",Emily Egan
Come here to watch the Rangers or Knicks be mediocre.,"February 21, 2012",Jake Smith
Check out the brand spanking new PlayZone (open before the show)!,"February 17, 2012",Kyle Igneczi
This is where #17 does work. Do what you have to do to get a ticket so you can watch him run the floor with Amare and Melo.,"February 17, 2012",Gradie Oakes
Get some Carlos and gabbys. Good eats,"February 17, 2012",Andrew Bryk
Only go when henriks playing,"February 17, 2012",Jenna Ryan
"The home of ""LinSanity""","February 16, 2012",Peter ☎💺📈
Gotta have the !,"February 12, 2012",Kenny Schaefer
It's my first time here lmao,"February 12, 2012",Jose Rivas
Jeremy Lin.,"February 11, 2012",Ray Y
The world's most famous arena! Nothing beats the atmosphere at MSG!,"February 9, 2012",Chris Camizzi
$155/ea for nosebleed seats. Pass.,"February 7, 2012",Bryan Ramos
The security  are top notch ...best in the world,"February 4, 2012",Vinny Cassino
Knicks Are Back,"February 4, 2012",Paul Moon
Let's Go !,"February 4, 2012",Jason Gonzalez
Welcome to the world's most famous arena! Let's Go ORANGE! ,"February 4, 2012",Big Apple Orange!
Cirque du Soleil was amazing! The  is beautiful and you can see really well from every angle. The show was worth seeing and the  is very well kept. Great  experience at the MSG.,"February 3, 2012",Bethel & City Tours
Stella  from the can.is.delicious,"February 3, 2012",Joey
D-E-F-E-N-C-E,"February 3, 2012",Rob DaBoom
"July 13, 1987 - The Who's That Girl World  stops at the Madison Square Garden.  songs include: Open Your Heart, Lucky Star, Papa Don't Preach, Into the Groove, La Isla Bonita and more...","February 2, 2012",Madonna
"Madison Square Garden is the third busiest  in the world. The fastest ticket sale was Taylor Swift's  in 2009, when her show sold out in about 60 seconds!","January 31, 2012",D'Agostino Supermarkets
Everyone shouldve been here,"January 31, 2012",Dee
 tickets way ahead!,"January 29, 2012",Vincent Velema
Greatest arena ever,"January 25, 2012",Joey
Don't you knick fans get tired if coming here to pay money just to watch your team lose! Hahaha...,"January 22, 2012",Rey P.
"If you're in West  or level 400 and looking for the ladies  head to the last stairwell, tower A","January 22, 2012",kayla b
Section 115 = great  for  Games!,"January 21, 2012",Joe Smolenski
Eat bf you go.  Corporate food is terrible.  They will hopefully catch up w/ 21st century if the food contracts ever expire,"January 19, 2012",Justin Orgel
"When the Blue  put the puck in the net & the red lights come on, be prepared to scream, “Whoa-oh-oh, LET’S GO !”","January 19, 2012",ESPN
Lets go KNICKS,"January 19, 2012",Daniel Tedeschi
Let's go Rangers! Liking the renovations,"January 18, 2012",Bobby La Porta
Looking for a post-show hangout? Head to these hotspots: ,"January 17, 2012",Bing
Try to avoid the ladies room...it is disgusting. You are better off going in an alley some where behind msg!,"January 16, 2012",Nikki Jean
dolanan krambol nganggo biting,"January 13, 2012",Andi Gasby
"On November 5, 1932, when the  was located on Eighth Avenue (MSG III), Franklin Roosevelt gave the final speech of his presidential campaign there. Read the text of his address at the link. ","January 10, 2012",Retro Campaigns
The  comes to NYC every January. It is amazing highly recommend this for all ages!! Super talented athletes as well as a great side show by rodeo clown.,"January 8, 2012",Stephanie Donahue
Phish on New Years and then rush out to see the  drop!,"January 7, 2012",Charles Edge
"Known as the 'Fighting Marine,' Nick Barone won a 10-round decision against Jimmy Beau here in 1950. Before fighting in the ring, Barone served in the USMC and fought during the Battle of Iwo Jima.","January 5, 2012",Marine Corps
Let's go knicks,"January 5, 2012",Ethan Ruby
If you're going to be drinking water or  bring in dasani or  product caps with you because they take them off when you buy them.,"January 4, 2012",larry sullivan
Can't miss MSG!,"January 3, 2012",Phatgoose
Raptors vs knicks......we in the building...;-)We love !!Let's go Knicks,"January 3, 2012",M.O.S.💑
The best Pro Wrestling in the World...WWE,"December 31, 2011",DAN TANA
The sound sucks in the renovated . Muffled and dull,"December 30, 2011",Matt Ruzz
 and ,"December 27, 2011",NJ Auto Auction Jersey City
POTVIN SUCKS!,"December 26, 2011",Colin Ziemer
"In 1994, just one year after failing to qualify for the playoffs that the New York Rangers bought their Stanley Cup ""Championship"" by acquiring 8 players from the dynasty-era Edmonton Oilers.","December 26, 2011",Jordan Romano
Don't get duped by scalpers and fake tickets!  Here's an example...,"December 24, 2011",Joel Urnom
"The  Never Say Never documents Justin on his journey to one of the most famous stages in the world, Madison Square Garden.","December 22, 2011",Nick Tomaino
the bessssshhhhhhhhtttt,"December 22, 2011",Anirvan Mukherjea
Renovated  looks amazing!!!!!!!,"December 22, 2011",Peter Moran
"August 30th, 1972 John Lennon recorded two  at MSG to raise money for charity. November 28th, 1974 he joined Elton John on stage for what would be his final major .","December 21, 2011",Josh Morrissey
"Jay-Z: ""Say wat up to Ty Ty, still sipping Mai-tai, sitting courtside Knicks and Nets give me high fives,""","December 21, 2011",Paul Rayment
"Rangers suck, but it's a great place to watch a game. If only I could  one...","December 20, 2011",Rachel Minkoff
Try the  from the newly opened Daily  or the  from  Boss at B tower on the 6th floor (100 level)! Delicious and not too ! -@NocturnalChino on twitter,"December 17, 2011",Kevin Dong
"SHM fans, you got tickets to the sold-out  of the year! If you left friends at home tell them to watch the live stream at youtube.com/fuse 10:45p ET. Tweet using #SHMMSG- now let's rage!","December 16, 2011",FuseTV
The worlds most famous arenaKnicksRangersBoxingNCAA,"December 15, 2011",@MstrBrown
Try the  and  from the newly opened Daily  or the  from  Boss at B tower! Delicious and doesn't hurt your pocket as much! -Your  MSG Intern,"December 15, 2011",Kevin Dong
Beginning of Dec 2011 and just 1 of the new  food options is open: Blue Hill  on 2nd Fl. They serve ! Head down before the period ends to avoid the crowd,"December 12, 2011",Stephanie M.
LETS GO ,"December 12, 2011",Karin
 is fun! Goooo new York rangers!!!,"December 12, 2011",N.M. Mascia
Rangers rule!,"December 9, 2011",katy conrad
Get the Bass ,"December 7, 2011",David
The site of Coach K's record breaking 903rd win as head coach. #903 ,"December 7, 2011",Duke University
Wait for the whistle! Sec. 408 Let's Go Rangers!,"December 6, 2011",Lisa Ambrosino
"On 4/22/11, I attended Game 4 of the Eastern Conference playoffs between the Knicks and the Celtics with New York Red  MLS star Thierry Henry.","December 5, 2011",Mike Bloomberg
Great  from Promenade 110 and 117.,"November 30, 2011",Michelle Felton
During the  you are guaranteed to be entertained by the salvation army guys! Donate and spread some  cheer! :),"November 30, 2011",Rindaanne Riccio
There's a  on the front of the CVS Rx area. Not sure if you're supposed to use it but it's the only 1 I found outside the waiting areas & I was able to charge my phone w/out a hassle.,"November 29, 2011",Tim Conheeney
Lets go Rangers,"November 27, 2011",Chris H
Red Hot ! Screw BU. Let's Go Red!,"November 27, 2011",Mark
Get the  & ,"November 27, 2011",Jamar P
Never gets old,"November 25, 2011",Katherine Stewart
GODS  TO JOEY!,"November 24, 2011",Joey Ace
"live the dream: belligerent drunk, last row of the 400s, letting the world know how much john cena (still) sucks. bonus point for spilling  on everyone around you.","November 24, 2011",Jarid Maged
Second best place in the world to watch the !,"November 24, 2011",Syracuse University
" visiting NYC? Catch a game at this giant indoor arena home to the NHL New York Rangers of the NHL, the New York Knicks of the NBA and the New York Liberty of the WNBA.","November 22, 2011",Gray Line New York
Team Bring It!! Survivor Series!,"November 21, 2011",Ike
Most Famous Arena in the World,"November 21, 2011",Frank Esposito
Cough up some extra cash and get a suite! Then take a nap after you gorge on ,"November 20, 2011",Isreal #Alist @MrAlistEnt
"The big arena feels like history when you announce a boxing match there. You can almost feel the  of  people like Sugar Ray Robinson, Joe Louis, Rocky Marciano and great announcer Don Dunphy.","November 19, 2011",Al Bernstein
The World's Most Famous Arena,"November 18, 2011",RDW
Cameron Indoor  North,"November 15, 2011",Kyle Shiplett
Bring  ( :,"November 14, 2011",George Hauck
Madison Square Garden is the third busiest  arena in the world,"November 14, 2011",Wirya Martin
Time 4 Sum Action.. What a place to catch a great show!,"November 14, 2011",DJ Latin Prince ✔ 
Foo Fighters!,"November 14, 2011",Ron Amram
Social Distortion is rocking it!,"November 14, 2011",Kelley Boyd
Pre- game @ Blarney Rock... Jameson!!!,"November 14, 2011",Christopher Onzo
I always dreamed to square marden.,"November 14, 2011",Bennett Tyler
FOO FIGHTERS!,"November 14, 2011",Brittany Derby
"I saw tenacioud D here back in the day. Def one for the , good times, wish 4square existed back than","November 12, 2011",Jason Krupski
Lots of new renovations but you will figure it out,"November 11, 2011",Donna Gabor-Queralto
Don't just go to the game ... prove you were there with Foursquare!,"November 11, 2011",4sq Addict
back at it again.. #WTT,"November 8, 2011",Mo 
not in montreal but supporting montreal canediens. Fantastic,"November 5, 2011",Vittorio Pagani
The Rangers are the most ballin team in the world,"November 5, 2011",Chappy LeBlond
Enrique was here...,"November 5, 2011",Armein
Happy birthday Yuliet...,"November 4, 2011",wanirahayu
The greatest arena in the world!,"November 2, 2011",Mandi Gellis
For seats with a great  that won't break the  ($30-$40) try the west .,"November 1, 2011",Liz Christina
"If you're thirsty before the game, slip down into Penn Station and grab a 24 oz.  and a  for under $4.","November 1, 2011",Seatcrew
"Home to the NY Knicks and Rangers  teams, MSG also serves as a venue for  & political rallies. You can enter the arena from Penn Station underground without even taking a step outside!","November 1, 2011",New York Habitat
Visit the Steiner  Kiosk at Section 119! Great autographed items and Silent Auctions every game!,"November 1, 2011",Liz Martin
Brilliant venue for all the top .,"October 29, 2011",Robert Harvey
New renovations are sick!,"October 27, 2011",Anthony Fernandez
get Your Knicks season tikets early and save! i did,"October 27, 2011",Alexandra F.
"The newly remodeled  offers concession stands feature Andrew Carmellini , Aquagrill  and other food are sure to make fans of us all.","October 26, 2011",amNewYork
Must Visit Destination!,"October 26, 2011",Manny Arce
Aewsome event!,"October 25, 2011",Thiago Meireles
LETS GO !!!,"October 24, 2011",Kevin Eccleston
Wish I brought my glow sticks to this!!,"October 24, 2011",www.laurenf.com
SMTOWN WORLD ,"October 23, 2011",Lillian Figueroa
SMTOWN WORLD  LIVE IN NEW YORK 2011!,"October 23, 2011",Michelle Felton
Saw the Knicks and Pacers play years back!  What a game - and venue,"October 22, 2011",Andy Noble
FACT: In NYC it is illegal to throw a ball at someone's head for fun.,"October 17, 2011",LawyerLocator.com
Friend Snooty  on Facebook for NY dining info. Go Knicks!,"October 12, 2011",Snooty Waiter
MSG=Awesome,"October 4, 2011",April Knight
Must visit. Absolutely amazing.,"September 13, 2011",Aiden Kirchner
"A new day began when  Roy Jones, Jr. set the year right after his career and body went wrong. Jones defeated Felix ""Tito"" Trinidad with a unanimous 12-round decision.","September 3, 2011",HBO
Make sure to wear the away team  when attending . It definitely makes things more interesting!,"September 1, 2011",Lisa Gansky
Crazy Chaotic Place!,"August 31, 2011",Daddy's Sunshine!!
Lets go Rangers!!!!,"August 17, 2011",Jared Overdrive
Ridiculously  . Have some warm-up bevvies before you head in.,"August 15, 2011",Angie Gannon
Get your Pilgrim Passport at ,"August 15, 2011",JAF
the greatest  in the world.,"August 8, 2011",Anna Frenkel
Site of many of the biggest fights in boxing history including Ali-Frazier I. Fight night returns to the  on December 3rd for Cotto-Margarito II.,"August 4, 2011",Stiff Jab
"If you're in search of , the Delta-branded area outside Gate 77 offers   and  in 22 oz. cups for the painful price of $10.","August 3, 2011",Brew York
Jay-Z knows this venue well.,"July 29, 2011",MTV
Walk around people entering Penn Station. Take stairs up Borders/Chase,"July 21, 2011",Jude H.
Learn how to spell. And did you seriously think NOBODY else made a location for freakin' MADISON SQUARE  yet?,"July 18, 2011",Liquid Todd
From Ken For Barbie Love I Love Barbie,"July 18, 2011",Fransiscus Fernando
Seen The Ranger? He's the NHL Guardian watching over your team and is known as a futuristic Manhattan crime fighter!,"July 17, 2011",Andi Souw
Hope that true,"July 13, 2011",I DEWA GEDE OKA BADUNG
"The  Never Say Never documents Justin Bieber on his journey to one of themost famous stages in the world, Madison Square Garden.","July 7, 2011",EPIX HD
Backstreet Nous and New Kids on the Block together at MSG going to be history in the making,"June 11, 2011",CindysDelish.com
Let's go!!!!!!!,"May 18, 2011",Mary Ilina
"Ringo Starr, Ravi Shankar, Bob Dylan, Eric Clapton, Billy Preston, Badfinger, and Leon Russell joined George Harrison at The  For Bangladesh, the first large benefit , at MSG in 1971.","May 18, 2011",Hard Rock
hope ..dream come true.... :D,"May 3, 2011",Euis Adjie
wow.......,"May 2, 2011",Spinly Arturo
"Opened in 1968, it is the longest active major  in the Metropolitan area & is the 4th incarnation of the arena in the city. The  hosts approximately 320 events a year.","April 29, 2011",JacK Muchlis
"Knicks.  Playoffs.  Floor is shaking, Noise is deafening.  Ahhh, the good ol' days are back!","April 28, 2011",Chris Rodriguez
Fire Sather,"April 27, 2011",Andrew Jones
Potvin sucks.,"April 17, 2011",Charles B
"We gonna let the Celtics finish you, but D.  is one the best Point  of all time","April 17, 2011",Joseph Taylor
Go Rangers!!!!!!!!!!,"April 17, 2011",Peter ☎💺📈
"The British Consulate-General in New York is located at 845 Third Avenue, NY 10022. Tel: (212) 745-0200 ","April 15, 2011",Foreign Office travel advice
Take the  on over to our Midtown Terminal. From there take our FREE 34th Street  over to MSG!,"April 14, 2011",NY Waterway
Ivete Sangalo play in MSG '-',"April 11, 2011",Rodrigo Cardoso
Let's go pens!! Booooo the rangers!!!,"April 10, 2011",Mike Hart
madison square garden,"April 10, 2011",nnika ningsi
Make sure the Rangers are playing! You won't be dissapointed!,"April 7, 2011",Sean B
THE NEW YORK  ARE THE BEST,"April 5, 2011",Ken Grosso
Let's go !!,"April 5, 2011",Laura Dasaro
LCD Soundsystem. Last show ever.,"April 3, 2011",Vinny Martinez
The Strokes just ripped this building a new one. LCD tomorrow. I'm blessed.,"April 2, 2011",Eddie B
"If you are planning to go to NYC, check the MSG website to see if there’s some event going on when you’re there. ","March 31, 2011",Diego Rufo
Milan Kudu MENANG......... ><,"March 27, 2011",Ricardo 'Cicin' Milanisti
Fresh ..300 level concourse..melts in your mouth,"March 27, 2011",Brian Large
Go see a Knicks game. I loved it and until now I haven't been a  person,"March 26, 2011",Jim Ross
what a biga and nice place,"March 26, 2011",Bryant Jusuf
ı can not forget the sight here ( micheal jackson):,"March 24, 2011",Levent Vihoe
Rangers suck !!!!,"March 24, 2011",Rudy A
Nice Place,"March 21, 2011",dsm 108
it's a great place,"March 21, 2011",David Stefens
The world's most famous .,"March 21, 2011",Daniel Peji
If you don't have  Seats just watch it on the  at home. LOL.. ImJustSayin,"March 19, 2011",Traci E.
I heard that is a big place,"March 13, 2011",McKenzie Gassaway
Second home to the Syracuse  Men's  team!,"March 11, 2011",Krystal VanBuren
"For real NYC ppl, the food around msg is crap, head to restaurant row (46th BW 8th and 9th), great selexn, Da Rosina is great and the $ is right...","March 11, 2011",Steve Portland
The Doors  an epic show at MSG in January of 1969.,"March 10, 2011",The Doors
The  are really good.,"March 10, 2011",Mark Swartz
Gooooooo! Gooooooo! GO! MARQUETTE! GO! GO! GO! GO! ,"March 10, 2011",@MarquetteU
Greatest place for  and  .. Hell yea to Bon Jovi!,"March 6, 2011",Amanda H.
Six shows of THOMAS AND FRIENDS LIVE! This Sat/Sun!,"March 4, 2011",Shaun Rice
Go New York! Go New York! Go!,"March 3, 2011",Lawrence Liu
"huahemmm .,.,...,","March 2, 2011",doni mario
This 42-year-old arena is preparing to undergo a wholesale overhaul for $775-$850 million. It'll include floor-level  suites and two pedestrian bridges suspended over the playing surface.,"February 28, 2011",Jean Cweet
Sather and Dolan have done a magnificent job running the rangers into the ground!,"February 27, 2011",Mark
amazing spot!!!,"February 27, 2011",Jad Cigar Man
Phish throws great  in this room,"February 24, 2011",Healy Snow
"The MOTHER of all arenas! If you're a  fan, seeing a show at Madison Square Garden needs to be done at least once in your lifetime.","February 24, 2011",Mark Churaman
Here's a tip: give the rock to melo or stat!,"February 24, 2011",Matt Kassan
"My first time at the  was not good, as Rangers was defeated by Panthers for 4-3, but the energy inside is awesome. Love NY.","February 22, 2011",Alexandre Valente
I haven't been here in a long time,"February 22, 2011",Fred Beee
Check-Out the Virgin Mobile & Polaroid experience at the concourse. Get your photo take and see the new Polaroid Grey Label line designed by Lady Gaga,"February 21, 2011",Kyle Berns
"Sit in the seats to the far right & left, better  & you don't have to worry about ppl repeatedly passing over you & blocking your .","February 21, 2011",Jenn Davo
pusing ma cowo,"February 21, 2011",Marchellina Ariesta
Georgetown's other home court. Hoya saxa,"February 19, 2011",Rebecca Bain
Huge event forum!,"February 16, 2011",Mary Rose
"Hosted the NCAA Men's  Championship 7 times between 1943 - 1950, ranking 2nd behind Municipal Auditorium in Kansas City who hosted it 9 times. Bring it back...the history here is amazing!","February 16, 2011",Welcome to College
"In 1967, before it opened, one man muttered to no one in particular that it resembled an oil-storage tank, and a woman told a companion that it reminded her of a hatbox. ","February 15, 2011",The New Yorker
Great place!,"February 12, 2011",JAF
Let´s go !!!,"February 11, 2011",Fabio Bisker
,"February 10, 2011",UNDRCRWN APPAREL
"Madison Square Garden is a fully-integrated , entertainment and media business comprised of dynamic and powerful brands. Madison Square Garden's business grew from the legendary venue widely kno ","February 5, 2011",lee humphreys
you got to go see best place ever,"February 3, 2011",molina faizy
just left the Delta skybox,"February 2, 2011",DENIS J OCONNOR
Lets go rangers,"February 2, 2011",Danny W
LETS GO !,"February 2, 2011",Brian Goley
alwayz have a great time whether itz a knicks game or  .........but can b  at times grrr...,"February 1, 2011",Mr.Crayon Luis
