content,date,location_name,user_name
I loved the  there,19-Aug-15,Central Park,Mustapha Jamal
I just love this place. Amazes me that a  like that is located in the middle of a big city.,18-Aug-15,Central Park,Luciana Stearns
"Are you in a hurry? Try to rent a bicycle. You'll miss some of the ""popular attractions"" but you'll get a great glance of the  in a couple of hours. Stop at the reservoir at least!",17-Aug-15,Central Park,Rafael Reed
How not to love this big  in the heart of all  ?,16-Aug-15,Central Park,Joao Veloso Jr
"Too small. Just kidding, of course.",13-Aug-15,Central Park,Cecilio César Tamarit Camarero
This  has always been one of my favorite .,13-Aug-15,Central Park,Karen Johnson
Huge . You've seen it in . The Shakespeare  is nice,12-Aug-15,Central Park,Brook Shelley
Best  in the world! <3,11-Aug-15,Central Park,Vanessa Roma
City's lungs. Always  inside. Best place to have a rest during a coffee-break,10-Aug-15,Central Park,DM
You'll feel like in a !,9-Aug-15,Central Park,Silvia Lopez
Please don't  in the pedestrian lane,7-Aug-15,Central Park,Terri R
By the sailboats is the best place to .,5-Aug-15,Central Park,Leigh Anne Zinsmeister
You know... It's the .,3-Aug-15,Central Park,Jonathan San
Great . Be sure to look both ways before crossing the streets in the  - there are lots of runners and bikers.,1-Aug-15,Central Park,"Karl With A ""K"""
Rent  during the weekday and  the entirety of the  in under two hours (with stops). Avoid this on the weekends! Too .,1-Aug-15,Central Park,Kristina Rudic
"For walk, hanging out or simply .",30-Jul-15,Central Park,Z Wang
"Variety of activities, nice walk",26-Jul-15,Central Park,Farouq Aldilaijan
 Penguins,24-Jul-15,Central Park,Fabian TM
Nice place,24-Jul-15,Central Park,Fabian TM
"You just can't visit the howl , but you will wish you could...",22-Jul-15,Central Park,Tunke Lauriks
"Boating in central park is great fun! The rowboats, which seats four people, are available for rental in good weather for $15 each hour -",21-Jul-15,Central Park,Signs Visual
Nice ,19-Jul-15,Central Park,Brad Hitchcock
Huge and wonderful place to spend a day trekking through and taking in all the beauty.,18-Jul-15,Central Park,Terence Chan
Buggy rides are a great way to !,17-Jul-15,Central Park,barbee
A good way to relax and get away from the city,16-Jul-15,Central Park,Insil Kim
"perfect place to have a , a walk or a date",15-Jul-15,Central Park,Tony Stark
Best  in the world! Enjoy the grass in NYC,13-Jul-15,Central Park,Alex Fish
Walk the reservoir.,12-Jul-15,Central Park,J P
Visit in the summer time!,11-Jul-15,Central Park,jiresell
Nice place to unwind after a long day,11-Jul-15,Central Park,Jason
Walk from end to end and enjoy the walk. Use it as a great escape from whatever troubles you.,9-Jul-15,Central Park,Jio Igual
favorite jogging spot in the area.,9-Jul-15,Central Park,Sabrina Wang
They have a ,8-Jul-15,Central Park,Heather T
Glad to be in the city.,7-Jul-15,Central Park,Eneida Selina Santos
It's a masterpiece.,6-Jul-15,Central Park,Carmen N
Need more easy to find drinking .,4-Jul-15,Central Park,A S
Horse carriages and row boats are a great way to see around and enjoy the day.,4-Jul-15,Central Park,Sevgi Mungan
Love this place for ! Did you know that there are free  and ?,1-Jul-15,Central Park,Caroline Deng
Diversity of the people,29-Jun-15,Central Park,Wayne Smith
"Love Central Park, a true treasure in NYC. if you are a runner, it's a great place to run a loop.  Cutovers across the  give you the option of a 3 mile, 5 mile or 6 mile route.",29-Jun-15,Central Park,John Antos
"Beautiful, .",27-Jun-15,Central Park,Sandro Morandin
Most  in the city,24-Jun-15,Central Park,David Desmet
Come here and ! There are spots for bouldering all over. Try  Rock in the southwest end of the .,23-Jun-15,Central Park,Afi Yellow-Duke
Just amazing!!!,22-Jun-15,Central Park,Berke Dis
"Get a  (for Rent in entrances of the ) ride and enjoy! Stop on , , meadows, ...",22-Jun-15,Central Park,Edwulf
"this is a must do. grab take-away food and head for a  in the . Or rent a  and . Or take a run... Whatever you decide to do, do not skip this oasis.",21-Jun-15,Central Park,annaloop
 here.,18-Jun-15,Central Park,Runnin' Donna
Very  and relaxing.,17-Jun-15,Central Park,Varoujan Panosyan
Don't wear heels in 30 degree weather.,10-Jun-15,Central Park,Sandy Ma
Just beautiful!,9-Jun-15,Central Park,Cristina
amaziing!#,9-Jun-15,Central Park,Malla Latumahina
What is there to say that hasn’t been said before? I simply love this .,8-Jun-15,Central Park,Thomas Pajor
Sunday Stroll,7-Jun-15,Central Park,Joe Cooke
Rented a  and rode the whole way around! Just don't rent citibike... It's luscious and green and will make you forget you're in the middle of a huge city!,6-Jun-15,Central Park,Thelocaltripper
Stay away from the woods at dusk.,1-Jun-15,Central Park,Jed Record
Beautiful beside the absence leaves,30-May-15,Central Park,Tuany Fatah
 are amazing,27-May-15,Central Park,Rodrigo Artavia
The best place in NYC for ,26-May-15,Central Park,Yousif D
Great place for run - main Central Park loop is 6 miles,23-May-15,Central Park,Ryan
This  is amazing year round! There is just so much to do and so much to see more! ,22-May-15,Central Park,Savoie Neal
"The greatest  in the world. Great for all activities and great Place for  with your children , enjoy the nature at its best with lots of fun acitivities to do also. Love to go there again!",22-May-15,Central Park,Frank Cooper
Walking and  !,21-May-15,Central Park,Sara Ro
amazing....,20-May-15,Central Park,sangkot purba
If you are in NYC you have to absolutely go to this ! An amazing place!,20-May-15,Central Park,Aneta Kozackova
A so  to visit!,20-May-15,Central Park,David Varisano
Great place for locals or !,18-May-15,Central Park,Joseph Pasqualina
"Stroll, sit, watch bring the family and enjoy.",17-May-15,Central Park,P G
Make sure you see everything!,15-May-15,Central Park,Rebecca Phillips
 vs. running vs. walking - ALL different experiences here!,15-May-15,Central Park,Vivian Vo
The best part of town,14-May-15,Central Park,Mike Hopkins
Exactly like in the  ;-) nice to stroll around with some  on hand.,13-May-15,Central Park,prima fili
amazing place,12-May-15,Central Park,David Hesando
Where is the pigeon lady?,12-May-15,Central Park,Brett Garwood
Amazing place,12-May-15,Central Park,Hamza Alokly
I love everything from the east side especially when planning !,11-May-15,Central Park,Nitya Chandra
Beware of homicidal cyclists,6-May-15,Central Park,Fouad ElAmir
The best place to hang out in the morning before work!,5-May-15,Central Park,Karissa Durler
The  is awesome I love the  in the spring time,29-Apr-15,Central Park,Angel Fleming
Everything is good here,24-Apr-15,Central Park,Eva Heijnen
how can you say anything negative? i love central park.,20-Apr-15,Central Park,Mark 🍔
Come for some sunshine,19-Apr-15,Central Park,Puu Kampolratana
You cant smoke in the whole ,17-Apr-15,Central Park,Booie
Obviously one of the best  in the USA.,15-Apr-15,Central Park,Emilio C
desire lines (colored rope for each path in the ),13-Apr-15,Central Park,Alicia
I love this place!!!,13-Apr-15,Central Park,Luis Lopez
"What can be said about this wonderful oasis, great  paths, reservoir full of ducks, big lawn, , ...heart of the city",12-Apr-15,Central Park,Michael Fox-Rabinovitz
It's Central Park duh great place,12-Apr-15,Central Park,Mayttee Flaz
No smoking in the whole ,9-Apr-15,Central Park,Booie
Everything is better at the !,7-Apr-15,Central Park,Jane Eyre
"The entire  is massive. If you get lost, don't be like Zayn, just keep walking in one direction.",5-Apr-15,Central Park,drew tarvin
Best  in the world!,5-Apr-15,Central Park,Jay Burdman
The mandatory  stop in any season of the year,25-Mar-15,Central Park,Diego F
"Great for , walk after  visits around the ",21-Mar-15,Central Park,Alice Nam
Ties the whole city together.,19-Mar-15,Central Park,Smores Alore
Nothing beats having a  in central park.,19-Mar-15,Central Park,Otesaga Resort Hotel
It's a nice ,19-Mar-15,Central Park,Marlon Gayle
Check out the !,13-Mar-15,Central Park,graceygoo
last few weeks to run here comfortably before the mosquitoes show up,9-Mar-15,Central Park,Defne
It's not a  or anything but it's the best we've got. Considering it's in the middle of Manhattan it's pretty amazing.,7-Mar-15,Central Park,Patrick Healy
"When it snows, it's like walking through a winter wonderland ;)",6-Mar-15,Central Park,ArtJonak
Did you know: Central Park is one of the most popular  settings in the city: more than 300  have been shot here. The 340-hectare  attracts up to 40 million people each year.,3-Mar-15,Central Park,Lufthansa
Take the time to walk deep into the  and spot a Cardinal...also recommend  at The Boathouse,1-Mar-15,Central Park,Steve Watts
"The first time I saw Central Park, I wasn't impressed at all. The second time, it was covered in snow and I loved it. The , all the squirrels, the hills and the amazing .",28-Feb-15,Central Park,Hartje Utrecht
What a beautiful and wonderful  to visit.  Can spend hours here without noticing the time passing by. We need to see this in autumn with all the   and brown yellow colours!,20-Feb-15,Central Park,Sam 24112013
Central Park is such a beautiful and incredible  with many things to do. You will never be bored here 😍,18-Feb-15,Central Park,Kimmie Ohh
Great place to walk and ride a .,15-Feb-15,Central Park,Steffanie Camilo
A nice place to take a stroll during the winter,14-Feb-15,Central Park,Tom M.
Winter in Central Park is awesome,14-Feb-15,Central Park,Goran Pilipovic
"It is the ""lungs"" of New York. It is amazing seen so many people jogging and cycling. Cultural places,  and contrast between the asfalt jungla and all this . A most in NYC.",12-Feb-15,Central Park,Rogelio Robledo
One of my favorite places in the whole wide world <3,10-Feb-15,Central Park,Katie Tuohy
"One of my favorite activities to do here is to leave branches out on the  path during the summer. Then, just sit back on one of the  wooden , relax, and enjoy the show.",9-Feb-15,Central Park,Fouad ElAmir
Simply have a stroll!,7-Feb-15,Central Park,Jan Gemrich
it's  + trees.,5-Feb-15,Central Park,Karel VH
 is closed at 1am,5-Feb-15,Central Park,Jim H.
"This place has so much memories for many people , i just realised how much i love this place :/ i remember when i  earned my first 50 British pounds online and my day carried me here to celebrate. ",5-Feb-15,Central Park,Bryan Milwood
I went in the winter it was beautiful! Go for a long stroll or  near the south end.,4-Feb-15,Central Park,Allison Kaminski
"A site to see no matter what the weather is, the  is even more beautiful when blanketed with snow! Take a stroll, visit the hidden Belvedere , catch up with old friends. A New York staple!",3-Feb-15,Central Park,Daniel Karran
 & love❤️,28-Jan-15,Central Park,İpek A.
Winter Wonderland #NYC2015,28-Jan-15,Central Park,Pete Webb
The perfect place to go on a  in New York! I know my pup certainly loves running around here whenever she can!,28-Jan-15,Central Park,Paige C
North wood is amazing in the upper side. Magical.,27-Jan-15,Central Park,lx36p
Winter wonderland. Families sledding,27-Jan-15,Central Park,Bri B
Love the  and ,26-Jan-15,Central Park,Lydia Berkennou
Go there and forget about everything.,24-Jan-15,Central Park,Alexis Schulz
There's something for everyone.,23-Jan-15,Central Park,Marija Naumoski
A New York must. Stroll the glacial erratics and ,19-Jan-15,Central Park,Angel 9
The most famous  in the world!!,18-Jan-15,Central Park,Arman P. Sali
The fairytale in the center of the wild city. Recommend free  by foot!,15-Jan-15,Central Park,Daryana
A getaway oasis especially for  on a nice day,11-Jan-15,Central Park,Lou Carulli
"wonderful place to , you got me :)",10-Jan-15,Central Park,Flexi Code
i like it :D,8-Jan-15,Central Park,เกาะทะล�?สีฟ้าทัวร์
Always a good idea to break free,6-Jan-15,Central Park,Idem Yalin
Just lovely!,6-Jan-15,Central Park,Lily Elbaum
It is nice place in NY I had made a blog on Indian  And Travels. For Follow this blog please visit ,5-Jan-15,Central Park,ankit shah
Everything,1-Jan-15,Central Park,Minga Vasquez
Worth a walk and get a good workout,31-Dec-14,Central Park,🏆 Anthony 🏆
Walk and enjoy surroundings,29-Dec-14,Central Park,Ramiro Delgado
"A place where Kevin met the pigeon lady, where Smurfs got lost, Blair and Chuck got married, Charlotte used to run, Shopgirl found out that NY152 is Joe Fox and many other  scenes happened.",29-Dec-14,Central Park,Lucie Kleckova
Beautiful  !!!!,28-Dec-14,Central Park,Ana Santos
"Everybody loves Central Park, and nice place",26-Dec-14,Central Park,Mert Haydaroglu
"See it by , see it by .",23-Dec-14,Central Park,Yoeun Pen
a huuge  right in the middle of manhattan? the people gotta get their oxygen somehow!,22-Dec-14,Central Park,nehir oguz
"I like the small restaurants, the  and the big fields",18-Dec-14,Central Park,Blue Man City Man
New York has a lot more to offer than  and the - discover the city that never sleeps with Lufthansa’s Travel Guide for New York! ,18-Dec-14,Central Park,Lufthansa
"so much going on, wow!",15-Dec-14,Central Park,emre celkiten
A wonderful escape from the  streets of Manhattan for a moment to breathe. It's an oasis and getaway from everyday troubles. You can spent hours walking around and just enjoying life!,8-Dec-14,Central Park,Gideon Müller
Good place for spending time. People share your photos and impressions here ,7-Dec-14,Central Park,Alisha McCarthy
I love walking here and take a breathe with .,29-Nov-14,Central Park,Go Vietnamvisa
"It's a lot woodsier than you expect, but still quintessentially New York.",26-Nov-14,Central Park,Alex Dobyan
Best place for a morning run!,23-Nov-14,Central Park,Kristian Thomassen
The farther north you go the  and less  it gets.,17-Nov-14,Central Park,Patrick
"You can ride in one of the horse-drawn carriages, check out the modest-size , climb to the top of 19th-century Belvedere , or take a break on the Great Lawn, gazing at the  above. ",14-Nov-14,Central Park,Travel + Leisure
"NOVEMBER: This is one of the peculiarly beautiful months to visit Central Park. The other are July, January, September, April, October, May, March, June, December, August, and February :)",14-Nov-14,Central Park,Andrew Cherkashin
"If you want to be refreshed by seeing a ton of active people - runners, cyclists, people playing  and ,  in general - this is probably the best place in New York for that.",14-Nov-14,Central Park,Adam Dr_Teng
Gets better the farther north you walk.,9-Nov-14,Central Park,Jared Wick
A must when in NYC,6-Nov-14,Central Park,J. I.G.
This  is amazing year round! There is just so much to do and so much to see!,6-Nov-14,Central Park,Kelly Wong
Great for jogging.,30-Oct-14,Central Park,Jeff Kao
New york is a great place to visit been there done that,28-Oct-14,Central Park,fairley piercy
Cold but beautiful!,27-Oct-14,Central Park,Kelsie Sweeten
"it is a beautiful  :) great place to hang out with friends, for a  or even  date�? run, walk, jog, ride a  or just sit n relax ;)",25-Oct-14,Central Park,S_J L
I will absolutely love Central Park all my life!:) It's a very special and  to be.,25-Oct-14,Central Park,Santa V.
Very nice for a  !,25-Oct-14,Central Park,Mariano Ezequiel Noreña
elbet birgün New York'a gitcem I love NY,23-Oct-14,Central Park,Rumeysa Ceyhan
My favorite place in the entire world!,21-Oct-14,Central Park,Élena Arghutian
Dog lovers heaven,19-Oct-14,Central Park,Sophia Zikanova
Always good to have a night walk in the Central Park!!  or a  is a plus,19-Oct-14,Central Park,Yousif D
Wonderful!,17-Oct-14,Central Park,Tatiana Capoani
Great escape from the hustle and bustle of the streets--enjoy!,17-Oct-14,Central Park,Erin M.
"Central Park has millions of ways to enjoy, I love it better when I am not inside of the （●＾o＾●�?,October 9"," 2014""",Central Park,Andria F Ho
Great place to unwind and escape the hustle and bustle. Try getting a spot on one of the rocks.,8-Oct-14,Central Park,Michael Lambert
A National Treasure in the Heart of Manhattan,4-Oct-14,Central Park,Pete Webb
Awesome  of the ,3-Oct-14,Central Park,OngAndrew �?
The Crown Capital Management Global Journalism International Relations Blog: Is economic stagnation the new normal? ,1-Oct-14,Central Park,The Crown Management
The most incredible  I've ever been to. Watch the bikers when you cross. So many different animals all over. Sheep Meadow is heaven.,28-Sep-14,Central Park,Nas Benali
At the carousel. These are the best kind of horses!,28-Sep-14,Central Park,Margie Berger
Enjoy the sun during the summer :),24-Sep-14,Central Park,Alexandre Curiel
"The greatest  in the world. Great for all activities and a welcome escape from the busy city. Don't get ripped off on the horse and cart rides. A lot of the ""original""  on offer are reprints",22-Sep-14,Central Park,Phat Buoy
Of course I like Central Park. Who doesn't?,20-Sep-14,Central Park,Trever Polak
"Take the time to just be. Listen to the  player, watch a bit of  or stroll around and see all the cyclists and dogs. Happy place.",14-Sep-14,Central Park,Teresa Villanueva
  behind the MET,12-Sep-14,Central Park,Hervé
Do not miss out the Bethesda !,10-Sep-14,Central Park,Ricardo Batista
Simply put: Nice!! Love all the tiny routes and pop-up events across the .,7-Sep-14,Central Park,Michael Nørkjær
Interesting place!,6-Sep-14,Central Park,Adam Hewson
Find something new every time I'm back.,4-Sep-14,Central Park,James J
It is the heart of New York. I don't know wheter it is more beautiful at night or during the day.,3-Sep-14,Central Park,Павле Павловић
"Really beautiful, lots of , just walk around and discover them! The carriages are a  trap, it's much nicer to explore on your feet!",2-Sep-14,Central Park,Sandrastica
"Don't think I can finish exploring this place. Go for a run, ,  and sightseeing for a break from the bustling city that surrounds it.",1-Sep-14,Central Park,Stephanie Low
Love running here during the afternoon when it's not too hot.,1-Sep-14,Central Park,Jae Chef
testtesttest,31-Aug-14,Central Park,piyo
Checkout the Alice in wonderland  on the east side of ! Then a nice walk around the .,28-Aug-14,Central Park,Ryan C.
"Just a great  in the city, watch people, and catch some sun in NYC",27-Aug-14,Central Park,Michael Ladd
Beautiful .  and well . Loved all those squirrels! Just lovely!,27-Aug-14,Central Park,Esra PRG
Moments of inspiration.,26-Aug-14,Central Park,Ibrahim Saleh
"Go to #StrawberryFields, the favourite place of John Lennon. Beautiful trees and  location.",26-Aug-14,Central Park,Sophie Thiebaut
i cant waait to go here,25-Aug-14,Central Park,Gabriel Swaidner
"Rent a , there is an excellent store at 56th and 6th Avenue. Follow the outer roads, and enjoy! :-)",24-Aug-14,Central Park,Koen Blanquart
"You can find just about any activities you might be looking for - , , dining, etc. You do have to figure out what is where in 2.5 miles x 0.5 miles  though",24-Aug-14,Central Park,Harumi U
Soaking up the last of summer!,23-Aug-14,Central Park,Kate Olsen
"Tavern on the Green, and the Metropolitan  of ",22-Aug-14,Central Park,Prince Lord
Run around the loop! 10k with the perfect escape from the city,21-Aug-14,Central Park,Jeremy Jacobowitz
"Drinking is technically illegal, but if you sneak in a box of , who's to know?",19-Aug-14,Central Park,Public House Wine
The paradise in New York!,19-Aug-14,Central Park,Rebeca Dias da Fonseca
very awsome place for ....,19-Aug-14,Central Park,R⃟a⃟i⃟d⃟a⃟S⃟™
"Start from 5th avenue entrance, you'll find your way in this huge ",18-Aug-14,Central Park,Tugce Uluurgun
"If you're in NY, visiting Central Park is a must. Renting a  is a good way to discover it.",15-Aug-14,Central Park,Begum Tekin Ciftci
Take a walk in the green - get to know nice people.,14-Aug-14,Central Park,Carola Wüst
"When in New York, go to Central Park. The place to rest and .",12-Aug-14,Central Park,Martin S.
"Best place in the world for running! Also an amazing place for almost every other ,  and much more!",12-Aug-14,Central Park,Romano van Wetten
Hang out next to the !,11-Aug-14,Central Park,Yousif D
The best place in NYC to take your  break. You can breathe now.,11-Aug-14,Central Park,Margot Mazur
The  is awesome,8-Aug-14,Central Park,Lucky Lady Mumford - Robles
Escape the  city and navigate your way through the  and broken branches.,8-Aug-14,Central Park,Rami AlKhowaiter
Google maps is your only way out of this !,7-Aug-14,Central Park,Feras Sh
It's very restful place here 😋😌,7-Aug-14,Central Park,Evrim Cagman
"Nature ^^,",7-Aug-14,Central Park,Nayrb Hpesoj Aratnacla
Off leash hours for your dog before 9am and after 9 pm,7-Aug-14,Central Park,Richard Dinh
Sit under the trees on the hill southwest of the Conservatory Water (where you can play with the remote controlled sailboats). It's  except for the sound of the rustling leaves.,7-Aug-14,Central Park,Eric Grant
"A great place for an evening walk. Make sure you visit the Alice in Wonderland , and venture out towards the watersides for .",6-Aug-14,Central Park,Ryan Ross
Like a dream!,3-Aug-14,Central Park,Ali Kodal
Enjoy the walk and the ,21-Jul-14,Central Park,Harriet B
I've never gone there :),19-Jul-14,Central Park,Md Rahman
Enjoy the ,18-Jul-14,Central Park,Mel Blake
=0ppPp=0p0pp,15-Jul-14,Central Park,Denise Walker
Manedsoversikt: Turbulence Ahead? - The Woo Group RBC Wealth Management Hong Kong USA ,9-Jul-14,Central Park,Christine Jude
"Grab lunch/dinner from The Halal guys on 53rd & 6th and then walk over to Central Park for a . Afterwards, walk off all those calories around the  while !",7-Jul-14,Central Park,MyThy Huynh
"Summerstage Presents Jon Batiste & Stay Human/Hypnotic Brass Ensemble in Association with Blue Note  Festival. This is a free show, so make sure to get there early. Sun, 6/29, 7pm. ",27-Jun-14,Central Park,Staff Picks
Being from out of town we found it rather difficult to navigate. However it was beautiful.,21-Jun-14,Central Park,Katie Van Petten
"It’s International  Day! Today we celebrate one of the greatest ways to enjoy the summer season—an outdoor  with friends, family, games and activities, and delicious food.",18-Jun-14,Central Park,Staff Picks
"Amsterdam, Voldenpark,Mexico City, Chapultepec , Lisbon, Monsanto  , Avustralya, Kings , New York, Central Park say say bitmez çok var. Bizde hangi  var !",14-Jun-14,Central Park,Seninyemekleri.com (www.Seneminyemekleri.com)
Belvedere  gives you a great  of Central Park and Manhattan. Must visit (during open hours of course!),11-Jun-14,Central Park,Nik Nazneen
"Better time than last year, even after acl reconstruction & meniscus surgery. @amped",6-Jun-14,Central Park,Domenic Antinucci
Too big to walk around,3-Jun-14,Central Park,Justin Fencsak
"Come explore the Hallett Nature Sanctuary at your own pace along the  in Central Park Free & self-guided, no registration needed, just go along and enjoy it! ",3-Jun-14,Central Park,Staff Picks
if you need to cross for the parade--5th & 72nd.,1-Jun-14,Central Park,Dani Y
"HUGE. And I'm sure still more to explore. A great walking around , with so many areas to adventure through and relax in.",31-May-14,Central Park,Apex Taco
,19-May-14,Central Park,Nhóc Buồn
I love this place,18-May-14,Central Park,http://www.pelletstovesforsale.net
Central Park id Host of The Annual AIDSWALK NEW YORK during Spring the Month of May usual,18-May-14,Central Park,Jorge Alvarez-Washington
Central Park,11-May-14,Central Park,Maria Galvan
Central park is the beautiful place to spend time and enjoy.,9-May-14,Central Park,AuroIN Internet Marketing Company
Always beautiful.,28-Apr-14,Central Park,Katherine M.
The Reservoir is a Dream place <3,24-Apr-14,Central Park,Ella Tran
 to see,23-Apr-14,Central Park,Steven Ct
what a !,19-Apr-14,Central Park,Susan J. Stein aka SusieQ
Let yourself be a kid again and climb those rocks!,17-Apr-14,Central Park,Becka Simon
great place to enjoy a nice day!,14-Apr-14,Central Park,Rachel Marabell
My favorite place,13-Apr-14,Central Park,Jessica Ferrucci
Squirrel!!,12-Apr-14,Central Park,Jag Firerwalker
"Love this ! You could spend a whole day here just looking for the different  spread out across the . If you get lost or you need to find something, there are maps within the ",9-Apr-14,Central Park,❀�?YIᑎG ✿❀
"Free  in Central Park at The Skate Circle, Apr-Oct on Weekends, 2:45-6:45pm. See map attatched. More info: http://cpdsa.org ",7-Apr-14,Central Park,Central Park Dance Skaters Association (CPDSA) �?Free Roller Skating Rink
"For  in Central Park: Come to the Skate Circle on Weekends, Apr-Oct, 2:45-6:45pm, located on Center Drive, across from the Bandshell. See attached map. For more info: http://cpdsa.org ",7-Apr-14,Central Park,Central Park Dance Skaters Association (CPDSA) �?Free Roller Skating Rink
"Want to  to live   in Central Park? Come to the Skate Circle on Weekends, APR-OCT, 2:45-6:45pm. Events run by Central Park  Skaters Association. For more info: http://cpdsa.org",7-Apr-14,Central Park,Central Park Dance Skaters Association (CPDSA) �?Free Roller Skating Rink
"Central Park First Skate  of 2014: SAT APR 12, featuring  Bobby Morales. Where: Skate Circle. When: 2:45pm-6:45pm. More info: http://cpdsa.org",7-Apr-14,Central Park,Central Park Dance Skaters Association (CPDSA) �?Free Roller Skating Rink
"The Skate Circle, a smooth area in Central Park, is  to roller skaters who want to  to live   on Weekends, between April and October, weather permitted. Get info: http://cpdsa.org",7-Apr-14,Central Park,Central Park Dance Skaters Association (CPDSA) �?Free Roller Skating Rink
Yaay!! beautiful morning in newyork with my friend Tracy. Had a good run too,3-Apr-14,Central Park,Olivia Chase
"I comforted Dutchess Elba here, the day she learned of her husband's affair with the daughter of an Italian  magnate. I cut our time , for fear of being involved in yet another royal scandal.",3-Apr-14,Central Park,The Most Interesting Man in the World
"When strolling through the , the best defense is a great offense �?so bring your sunglasses to protect your eyes against the UV rays. (P.S. Don't forget, even when it’s cloudy you need them!)",25-Mar-14,Central Park,The Vision Council
this place is so nice,6-Mar-14,Central Park,mohamed hollywood
Central Park is truly the green heart of New York City ,5-Mar-14,Central Park,James
Taking a walk in the  sounds like a great idea. ,5-Mar-14,Central Park,James
Take a horse and carriage. It's  but a nice way to take it all in.,1-Mar-14,Central Park,Neil C
is good place. welcome again ,1-Mar-14,Central Park,hikur rahaha
Central park is awesome during the day.  Scary @ night,23-Feb-14,Central Park,Jeanie Dedmon
"As the largest  in the city, Central Park is a great way for  and residents to get a break from the busy city life in a relaxed yet exciting setting. ",23-Feb-14,Central Park,Augustus Collection
JSex's favorite !,20-Feb-14,Central Park,HashtagNYU
Just love this ! ♥️,16-Feb-14,Central Park,Carole
"Central Park  Skaters Association CPDSA.org appreciates your tax-free contributions. April 13 Easter Sunday. skate-friends, & house  buddies. 2:45pm to 6:45pm (4pm=me)",12-Feb-14,Central Park,Amy Rea
"Um, of course.",12-Feb-14,Central Park,Wayne Surber
It's a BG New York City secret! Designer Gianvito Rossi likes to wake up early for a jog here.,11-Feb-14,Central Park,Bergdorf Goodman
Try to find a bolt in a Central Park rock that is believed to be one of the original survey bolts from when the city grid was first planned in 1811! The exact location is kept secret. ,7-Feb-14,Central Park,Untapped Cities
We enjayeed a lot saar,5-Feb-14,Central Park,S I D
A beautiful place to escape the hustle and bustle of the city!,30-Jan-14,Central Park,Joycott
hey am here on foursquare looking for the right one for me,23-Jan-14,Central Park,Fred Walters
"It's some kind of an Ibirapuera  in New York City, but cleaner. I love to go for a run around the Reservoir -- and don't forget: always counterclockwise!",16-Jan-14,Central Park,Elder C
One word to describe Central Park in it's entirety: awesome.,13-Jan-14,Central Park,Cadiea Schuster
Shingle Designs for Roofing Long Island | Long Island Roofing and Remodeling Company ,12-Jan-14,Central Park,King Cheek
"Central Park needs more public . For those of us that workout in the , an alternative to the bushes would be golden.",10-Jan-14,Central Park,@JaumePrimero
"Central Park is open year round, and has , even during winter.",9-Jan-14,Central Park,NJ.com
"Best place in NYC! Jogging, strolling, reading...  I just <3 it !",9-Jan-14,Central Park,US Dream
Go during the day and take a leisurely stroll. It beats the congestion of heavy traffic. Very relaxing place.,3-Jan-14,Central Park,Arlene Murphy
Go during the day and take a leisurely stroll. It beats the congestion of the moving traffic.,3-Jan-14,Central Park,Arlene Murphy
Wear   and walk all day.,27-Dec-13,Central Park,Krista Kauffman
Mutually the two hates the thought of continuing to stockpile highly radioactive waste the reactor cores of nuclear power plants on the site of each power-generating station. ,26-Dec-13,Central Park,The Crown Management
New Yorkers get out and LIVE in your city today!!,22-Dec-13,Central Park,Jonathan Lovitz
Nothing like a small piece of tranquility in the middle of NYC chaos!,20-Dec-13,Central Park,Adrian
"Great  to walk and . Enjoyable. Always something going on. , merry go round, , , ",18-Dec-13,Central Park,Angi W
 Evaluations by Dyman Management & Associates Business Solutions ,16-Dec-13,Central Park,Catalina Newgate
It's a BG New York City secret! Designer Gianvito Rossi likes to wake up early for a jog here.,11-Dec-13,Central Park,Bergdorf Goodman
Places to see in Central Park mapped for your convenience ,9-Dec-13,Central Park,mixsee
A wonderful  for a run... :-),28-Nov-13,Central Park,Dirk Strotta
Great walk. Great  for kids,23-Nov-13,Central Park,Timothy Nichols
"One of the prettiest, most relaxing places in the city. A MUST if you are a first time .",18-Nov-13,Central Park,Danyelle Dodd
Cccdfop. Ov,17-Nov-13,Central Park,Jose Escobar
If you visit NYC in the winter you must come to central park and go to the outdoors iceskating ring! The  make it even more magical! It is a bit  but worth it!  very warm!,16-Nov-13,Central Park,Daniele Banci
Fall Foliage: Enjoy a  of autumn's changing leaves at the Bow Bridge. ,14-Nov-13,Central Park,NYC Parks
! So !,11-Nov-13,Central Park,Jackie 🍸🎀👠 C
"I coul be here everyday for hours. Love it. All you need is your ipad and sunglasses ( somedays). , relaxing.....",11-Nov-13,Central Park,Fabio
Grab your skates and head to Laser Rink in the 's northern section.  on Fridays & Saturdays. ,7-Nov-13,Central Park,NYC Parks
stay clear of  ,5-Nov-13,Central Park,Lou Spadaro
"Since 1908, Central Park has appeared in over 240 feature , this also makes it the most  public  in the world!",31-Oct-13,Central Park,Otel.com
Free Online Chat Room ,29-Oct-13,Central Park,crn Am
"Places to Run: NYC’s most famous  is also a year-round haven for runners. Pick a , loop or traverse, run around its entire 6-mile perimeter, or opt for a 1.58 mile run at the reservoir. ",29-Oct-13,Central Park,NYC Parks
Beautiful ,26-Oct-13,Central Park,Danny Geonaar Ferreira
very cool :)),25-Oct-13,Central Park,Alvan Nuril
Words can't describe it's beauty!!! Totally worth a visit!!!  MUST GO!! :),24-Oct-13,Central Park,Marieta Sdoukou �?
